Order Id 10000, Total Price $108.00
Order Id 10001, Total Price $249.90
Order Id 10001, Total Price $512.00
Order Id 10001, Total Price $308.00
Order Id 10001, Total Price $293.25
Order Id 10002, Total Price $280.00
Order Id 10002, Total Price $226.80
Order Id 10002, Total Price $225.00
Order Id 10003, Total Price $498.18
Order Id 10004, Total Price $3010.00
Order Id 10004, Total Price $184.20
Order Id 10005, Total Price $173.40
Order Id 10006, Total Price $42.00
Order Id 10006, Total Price $45.20
Order Id 10007, Total Price $104.00
Order Id 10007, Total Price $687.00
Order Id 10007, Total Price $614.00
Order Id 10008, Total Price $324.00
Order Id 10008, Total Price $105.00
Order Id 10008, Total Price $742.00
Order Id 10009, Total Price $420.00
Order Id 10009, Total Price $1110.00
Order Id 10010, Total Price $320.00
Order Id 10010, Total Price $150.00
Order Id 10011, Total Price $393.30
Order Id 10011, Total Price $96.00
Order Id 10011, Total Price $99.75
Order Id 10012, Total Price $313.60
Order Id 10012, Total Price $360.00
Order Id 10012, Total Price $384.00
Order Id 10013, Total Price $335.00
Order Id 10013, Total Price $225.40
Order Id 10014, Total Price $172.00
Order Id 10014, Total Price $20.10
Order Id 10015, Total Price $882.00
Order Id 10015, Total Price $75.00
Order Id 10015, Total Price $134.00
Order Id 10015, Total Price $157.50
Order Id 10015, Total Price $175.00
Order Id 10016, Total Price $253.73
Order Id 10016, Total Price $1725.00
Order Id 10016, Total Price $73.95
Order Id 10017, Total Price $252.00
Order Id 10017, Total Price $696.00
Order Id 10017, Total Price $200.00
Order Id 10018, Total Price $980.00
Order Id 10018, Total Price $96.05
Order Id 10019, Total Price $91.80
Order Id 10020, Total Price $280.00
Order Id 10020, Total Price $168.00
Order Id 10021, Total Price $576.00
Order Id 10021, Total Price $585.90
Order Id 10021, Total Price $39.20
Order Id 10021, Total Price $40.00
Order Id 10021, Total Price $374.40
Order Id 10021, Total Price $60.00
Order Id 10022, Total Price $210.00
Order Id 10022, Total Price $157.50
Order Id 10022, Total Price $226.00
Order Id 10022, Total Price $78.00
Order Id 10023, Total Price $266.00
Order Id 10023, Total Price $60.00
Order Id 10023, Total Price $45.00
Order Id 10024, Total Price $320.00
Order Id 10024, Total Price $343.50
Order Id 10024, Total Price $1560.00
Order Id 10025, Total Price $122.00
Order Id 10025, Total Price $63.80
Order Id 10026, Total Price $17.40
Order Id 10027, Total Price $254.60
Order Id 10027, Total Price $1092.50
Order Id 10027, Total Price $881.60
Order Id 10027, Total Price $1117.20
Order Id 10028, Total Price $874.00
Order Id 10028, Total Price $96.00
Order Id 10029, Total Price $14.70
Order Id 10029, Total Price $61.00
Order Id 10029, Total Price $21.60
Order Id 10030, Total Price $424.65
Order Id 10030, Total Price $111.72
Order Id 10030, Total Price $190.00
Order Id 10030, Total Price $183.54
Order Id 10031, Total Price $112.50
Order Id 10031, Total Price $729.00
Order Id 10032, Total Price $60.00
Order Id 10032, Total Price $34.88
Order Id 10033, Total Price $850.50
Order Id 10034, Total Price $306.00
Order Id 10034, Total Price $441.00
Order Id 10035, Total Price $1050.00
Order Id 10035, Total Price $437.33
Order Id 10035, Total Price $229.50
Order Id 10035, Total Price $268.00
Order Id 10036, Total Price $37.00
Order Id 10036, Total Price $39.20
Order Id 10036, Total Price $274.80
Order Id 10037, Total Price $113.05
Order Id 10037, Total Price $325.38
Order Id 10038, Total Price $311.76
Order Id 10038, Total Price $104.00
Order Id 10038, Total Price $351.00
Order Id 10038, Total Price $97.20
Order Id 10039, Total Price $382.50
Order Id 10040, Total Price $1080.00
Order Id 10040, Total Price $910.00
Order Id 10041, Total Price $232.75
Order Id 10041, Total Price $132.00
Order Id 10041, Total Price $456.00
Order Id 10042, Total Price $78.75
Order Id 10042, Total Price $120.00
Order Id 10042, Total Price $306.00
Order Id 10042, Total Price $556.50
Order Id 10043, Total Price $478.80
Order Id 10043, Total Price $111.72
Order Id 10043, Total Price $1225.50
Order Id 10044, Total Price $588.00
Order Id 10044, Total Price $484.79
Order Id 10044, Total Price $76.95
Order Id 10045, Total Price $810.00
Order Id 10045, Total Price $42.16
Order Id 10045, Total Price $297.50
Order Id 10045, Total Price $97.75
Order Id 10046, Total Price $156.00
Order Id 10046, Total Price $60.00
Order Id 10047, Total Price $58.80
Order Id 10047, Total Price $120.00
Order Id 10047, Total Price $20.00
Order Id 10047, Total Price $21.00
Order Id 10048, Total Price $650.00
Order Id 10049, Total Price $315.00
Order Id 10050, Total Price $168.00
Order Id 10050, Total Price $73.50
Order Id 10050, Total Price $450.00
Order Id 10050, Total Price $91.00
Order Id 10051, Total Price $120.00
Order Id 10051, Total Price $630.00
Order Id 10051, Total Price $532.00
Order Id 10052, Total Price $244.00
Order Id 10052, Total Price $1656.00
Order Id 10052, Total Price $388.80
